GTA06,Latitude,Longitude
1012,43.87574974,-79.1644929
1013,43.8944819,-79.15273824
1014,43.90043715,-79.13027075
1015,43.90575364,-79.11072448
1016,43.91197663,-79.09829151
1017,43.91779578,-79.07586379
1018,43.92283913,-79.05196727
1019,43.92796311,-79.02749071
1020,43.88086575,-79.14166726
1021,43.88530143,-79.12321831
1022,43.89079195,-79.10466984
1023,43.89629679,-79.0885433
1024,43.85029111,-79.14810955
1025,43.86149684,-79.12568825
1026,43.87129636,-79.11931029
1027,43.87752105,-79.10304314
1028,43.8716804,-79.09499663
1029,43.87883802,-79.07947262
1030,43.84779396,-79.1166665
1031,43.85231629,-79.09976601
1032,43.85873513,-79.08925102
1033,43.85793721,-79.07547008
1034,43.82652651,-79.14894263
1035,43.83400269,-79.13269376
1036,43.82374095,-79.12756591
1037,43.83707729,-79.11410016
1038,43.83004506,-79.10907137
1039,43.84305538,-79.09057045
1040,43.83510112,-79.09543137
1041,43.8304966,-79.09386578
1042,43.83470379,-79.08641057
1043,43.83864453,-79.08096414
1044,43.8419372,-79.07505461
1045,43.84572421,-79.06785913
1046,43.81449933,-79.13187761
1047,43.80397776,-79.11953601
1048,43.82225757,-79.1099558
1049,43.81365938,-79.1049085
1050,43.82283007,-79.08906409
1051,43.83336899,-79.07692365
1052,43.82083529,-79.07848557
1053,43.82317826,-79.06874172
1054,43.83940944,-79.05889554
1055,43.82666412,-79.05351837
1056,43.81380127,-79.05731841
1057,43.89945317,-79.06835641
1058,43.90459102,-79.04439959
1059,43.91034912,-79.01969645
1060,43.88128695,-79.05979105
1061,43.88525969,-79.03738
1062,43.89230441,-79.03282027
1063,43.8954103,-79.01964553
1064,43.88648681,-79.01863031
1065,43.88850581,-79.01013139
1066,43.89508434,-79.00239446
1067,43.86655249,-79.06929386
1068,43.87087546,-79.05065427
1069,43.87346905,-79.03320313
1070,43.8742296,-79.0210221
1071,43.87375951,-79.01314225
1072,43.87878219,-79.00600636
1073,43.87768014,-78.99492244
1074,43.85838975,-79.06464811
1075,43.86272665,-79.0495889
1076,43.86402497,-79.03286821
1077,43.86439564,-79.02184302
1078,43.86591861,-79.01258574
1079,43.87004814,-79.002494
1080,43.84923749,-79.05875394
1081,43.85214544,-79.04742415
1082,43.85511884,-79.03251681
1083,43.86088466,-79.02058103
1084,43.8569015,-79.01834545
1085,43.86063232,-79.0091699
1086,43.86252937,-78.9991877
1087,43.86487137,-78.98942722
1088,43.84521896,-79.03528013
1089,43.84969374,-79.01417601
1090,43.85321759,-78.99952324
1091,43.85616945,-78.98573754
1092,43.8346934,-79.03635426
1093,43.82310593,-79.0327804
1094,43.8364119,-79.0222033
1095,43.8385595,-79.01052509
1096,43.82581842,-79.01343714
1097,43.83769596,-78.99361796
1098,43.84113188,-78.97945359
1099,43.99655132,-79.01751885
1100,44.00529667,-78.98038068
1101,44.00925201,-78.95782332
1102,43.97027963,-79.00584851
1103,43.97866118,-78.96902789
1104,43.98381654,-78.94704066
1105,43.95639038,-78.99625057
1106,43.96206786,-78.96164251
1107,43.96694743,-78.93945917
1108,43.9370194,-79.01007353
1109,43.93966705,-78.98804036
1110,43.95157759,-78.9555807
1111,43.94231769,-78.95365472
1112,43.95619501,-78.93659796
1113,43.94802126,-78.93075873
1114,43.91618349,-79.00212152
1115,43.91940093,-78.98229798
1116,43.92041033,-78.96329367
1117,43.92742221,-78.94635711
1118,43.93230516,-78.92427767
1119,43.89673573,-78.99537976
1120,43.8981464,-78.98581819
1121,43.9030446,-78.97192735
1122,43.90528967,-78.95869628
1123,43.90751144,-78.94892005
1124,43.9107937,-78.93412127
1125,43.91465179,-78.91689541
1126,43.8782822,-78.98551229
1127,43.88127733,-78.97820935
1128,43.88892585,-78.96817004
1129,43.88085314,-78.96221406
1130,43.89041759,-78.95199058
1131,43.88154803,-78.948183
1132,43.89256783,-78.94218989
1133,43.88373616,-78.93834712
1134,43.89844731,-78.92759147
1135,43.88943514,-78.92548589
1136,43.90121954,-78.91087007
1137,43.89232098,-78.90748745
1138,43.86706326,-78.97953682
1139,43.86908195,-78.97041163
1140,43.87142409,-78.95763676
1141,43.87561047,-78.94417205
1142,43.87054366,-78.9443543
1143,43.87720893,-78.93649495
1144,43.87072164,-78.93169516
1145,43.87974412,-78.92041234
1146,43.87104305,-78.91668805
1147,43.88215461,-78.90309404
1148,43.8738498,-78.89848458
1149,43.85947545,-78.97098972
1150,43.84635425,-78.96748973
1151,43.86269899,-78.95400391
1152,43.86407788,-78.93857797
1153,43.85442607,-78.94541059
1154,43.85712731,-78.91391084
1155,43.86179068,-78.89375078
1156,44.01618086,-78.93741091
1157,44.02324652,-78.8953871
1158,43.98782088,-78.93297085
1159,43.98899507,-78.9203602
1160,43.99386253,-78.90461708
1161,44.0001808,-78.87513344
1162,43.97440399,-78.92713611
1163,43.97930546,-78.91550608
1164,43.98285549,-78.90076284
1165,43.96648877,-78.92337154
1166,43.97265006,-78.91234271
1167,43.97659877,-78.90024364
1168,43.98398552,-78.8810877
1169,43.98740518,-78.85826441
1170,43.95344394,-78.91703079
1171,43.95742988,-78.90566655
1172,43.97107049,-78.89346188
1173,43.95926669,-78.89094788
1174,43.97430505,-78.87586751
1175,43.96156872,-78.87008019
1176,43.97638873,-78.85572477
1177,43.96515214,-78.8508151
1178,43.9356927,-78.90707383
1179,43.93884787,-78.89137229
1180,43.94326194,-78.88048098
1181,43.94593918,-78.86309372
1182,43.95041685,-78.84347048
1183,43.9170022,-78.90709285
1184,43.92269558,-78.89611906
1185,43.91407317,-78.89250797
1186,43.92357685,-78.88060959
1187,43.92514499,-78.87016191
1188,43.92849726,-78.85545141
1189,43.9324618,-78.83537291
1190,43.90331054,-78.89591085
1191,43.89444515,-78.89218642
1192,43.90602671,-78.88266401
1193,43.89756281,-78.87743836
1194,43.9084802,-78.87294788
1195,43.90165861,-78.86905856
1196,43.89894819,-78.86684244
1197,43.91069313,-78.86403155
1198,43.90358105,-78.86055626
1199,43.90023003,-78.85971604
1200,43.9144041,-78.84961761
1201,43.90582106,-78.84520313
1202,43.91870997,-78.82977054
1203,43.91012457,-78.82532448
